LAYER,SYMBOL,COUNT,FEATURES,FONT,STYLE,COLOUR,SIZE,OFFSET,PLACEMENT,TEXTANCHOR,LABELANCHA
ATT-conditalic-black-height-17-tp-4,text_font = ATTriumMou-CondItalic and text_colour = 9 and text_height = 0.0017 and text_place in (4),2340.0,,,,,,,,,
ATT-conditalic-black-height-17-tp-6,text_font = ATTriumMou-CondItalic and text_colour = 9 and text_height = 0.0017 and text_place in (6),,,,,,,,,,
ATT-conditalic-black-height-17-tp-7,text_font = ATTriumMou-CondItalic and text_colour = 9 and text_height = 0.0017 and text_place in (7),,,,,,,,,,
ATT-conditalic-black-height-17-tp-8,text_font = ATTriumMou-CondItalic and text_colour = 9 and text_height = 0.0017 and text_place in (8),,,,,,,,,,
ATT-conditalic-black-height-17-tp-9,text_font = ATTriumMou-CondItalic and text_colour = 9 and text_height = 0.0017 and text_place in (9),,,,,,,,,,
ATT-conditalic-black-height-17-tp-21-todo,text_font = ATTriumMou-CondItalic and text_colour = 9 and text_height = 0.0017 and text_place in (21),,,,,,,,,,
ATT-conditalic-black-height-17-tp-31-todo,text_font = ATTriumMou-CondItalic and text_colour = 9 and text_height = 0.0017 and text_place in (31),126.0,,,,,,,,,
ATT-conditalic-black-height-17-tp-32-todo,text_font = ATTriumMou-CondItalic and text_colour = 9 and text_height = 0.0017 and text_place in (32),,,,,,,,,,
ATT-conditalic-black-height-17-tp-34-todo,text_font = ATTriumMou-CondItalic and text_colour = 9 and text_height = 0.0017 and text_place in (34),,,,,,,,,,
ATT-conditalic-black-height-17-tp-35,text_font = ATTriumMou-CondItalic and text_colour = 9 and text_height = 0.0017 and text_place in (35),,,,,,,,,,
ATT-conditalic-black-height-17-tp-36,text_font = ATTriumMou-CondItalic and text_colour = 9 and text_height = 0.0017 and text_place in (36),,,,,,,,,,
ATT-conditalic-black-height-17-tp-37,text_font = ATTriumMou-CondItalic and text_colour = 9 and text_height = 0.0017 and text_place in (37),,,,,,,,,,
ATT-conditalic-black-height-17-tp-38,text_font = ATTriumMou-CondItalic and text_colour = 9 and text_height = 0.0017 and text_place in (38),,,,,,,,,,
ATT-conditalic-black-height-19-tp-1,text_font = ATTriumMou-CondItalic and text_colour = 9 and text_height = 0.0019 and text_place in (1),,,,,,,,,,
ATT-conditalic-black-height-19-tp-4,text_font = ATTriumMou-CondItalic and text_colour = 9 and text_height = 0.0019 and text_place in (4),386.0,,,,,,,,,
ATT-conditalic-black-height-19-tp-7,text_font = ATTriumMou-CondItalic and text_colour = 9 and text_height = 0.0019 and text_place in (7),,,,,,,,,,
ATT-conditalic-black-height-19-tp-31,text_font = ATTriumMou-CondItalic and text_colour = 9 and text_height = 0.0019 and text_place in (31),,,,,,,,,,
ATT-conditalic-black-height-19-tp-34,text_font = ATTriumMou-CondItalic and text_colour = 9 and text_height = 0.0019 and text_place in (34),,,,,,,,,,
