object_name,shp_name,theme,dataset,feature_type,layer_name,type,lds_Name
Hydrography,reservoir_poly,Landuse,Water_Layers,reservoir,Structure,poly,50324-nz-reservoir-polygons-topo-150k
Hydrography,flume_cl,Landuse,Water_Layers,flume,Structure_line,line,50273-nz-flume-centrelines-topo-150k
Vegetative Landcover,orchard_poly,Landuse,Land_Layers,orchard,Vegetation,poly,50307-nz-orchard-polygons-topo-150k
Vegetative Landcover,vineyard_poly,Landuse,Land_Layers,vineyard,Vegetation,poly,50367-nz-vineyard-polygons-topo-150k
Hydrography,canal_poly,Landuse,Water_Layers,canal,Water,poly,50251-nz-canal-polygons-topo-150k
Hydrography,canal_cl,Landuse,Water_Layers,canal,Water_line,line,50250-nz-canal-centrelines-topo-150k
Hydrography,drain_cl,Landuse,Water_Layers,drain,Water_line,line,50262-nz-drain-centrelines-topo-150k
NZ-Topo-Map-Sheet,NZ-Topo-Map-Sheet,MapSheets,MapSheets_Layers,nz_topo50_map_sheet,NZ_Topo50_Map_Sheet,poly,50295-nz-linz-map-sheets-topo-150k
Relief,contour,Relief,Relief_Layers,contour,Contour,line,50768-nz-contours-topo-150k
Relief,cliff_edge,Relief,Relief_Layers,cliff_edge,Relief_line,line,50257-nz-cliff-edges-topo-150k
Relief,cutting_edge,Relief,Relief_Layers,cutting_edge,Relief_line,line,50259-nz-cutting-edges-topo-150k
Relief,embankment_cl,Relief,Relief_Layers,embankment,Relief_line,line,50266-nz-embankment-centrelines-topo-150k
Relief,slip_edge,Relief,Relief_Layers,slip_edge,Relief_line,line,50350-nz-slip-edges-topo-150k
Relief,height_pnt,Relief,Relief_Layers,height,Relief_point,point,50284-nz-height-points-topo-150k
Relief,blowhole_pnt,Relief,Relief_Layers,blowhole,Relief_point,point,blowhole_pnt
Relief,sinkhole_pnt,Relief,Relief_Layers,sinkhole,Relief_point,point,50345-nz-sinkhole-points-topo-150k
Relief,trig_pnt,Relief,Relief_Layers,trig,Trig_point,point,103476-nz-trig-points-topo-150k
Structure,fence_cl,Structures,Land_Layers,fence,Fence_line,line,50268-nz-fence-centrelines-topo-150k
Structure,dry_dock_poly,Structures,Land_Layers,dry_dock,Structure,poly,50265-nz-dry-dock-polygons-topo-150k
Structure,fish_farm_poly,Structures,Land_Layers,fish_farm,Structure,poly,50270-nz-fish-farm-polygons-topo-150k
Structure,marine_farm_poly,Structures,Land_Layers,marine_farm,Structure,poly,50298-nz-marine-farm-polygons-topo-150k
Structure,siphon_poly,Structures,Land_Layers,siphon,Structure,poly,50347-nz-siphon-polygons-topo-150k
Structure,tank_poly,Structures,Land_Layers,tank,Structure,poly,50361-nz-tank-polygons-topo-150k
Structure,boatramp_cl,Structures,Land_Layers,boatramp,Structure_line,line,50241-nz-boatramp-centrelines-topo-150k
Structure,boom_cl,Structures,Land_Layers,boom,Structure_line,line,50242-nz-boom-centrelines-topo-150k
Structure,breakwater_cl,Structures,Land_Layers,breakwater,Structure_line,line,50243-nz-breakwater-centrelines-topo-150k
Structure,cableway_industrial_cl,Structures,Land_Layers,cableway_industrial,Structure_line,line,50248-nz-cableway-industrial-centrelines-topo-150k
Structure,cableway_people_cl,Structures,Land_Layers,cableway_people,Structure_line,line,50249-nz-cableway-people-centrelines-topo-150k
Structure,dam_cl,Structures,Land_Layers,dam,Structure_line,line,50260-nz-dam-centrelines-topo-150k
Structure,fume_cl,Structures,Land_Layers,fume,Structure_line,line,unknown
Structure,ladder_cl,Structures,Land_Layers,ladder,Structure_line,line,50290-nz-ladder-centrelines-topo-150k
Structure,marine_farm_cl,Structures,Land_Layers,marine_farm,Structure_line,line,50297-nz-marine-farm-centrelines-topo-150k
Structure,ski_lift_cl,Structures,Land_Layers,ski_lift,Structure_line,line,50348-nz-ski-lift-centrelines-topo-150k
Structure,ski_tow_cl,Structures,Land_Layers,ski_tow,Structure_line,line,50349-nz-ski-tow-centrelines-topo-150k
Structure,slipway_cl,Structures,Land_Layers,slipway,Structure_line,line,50351-nz-slipway-centrelines-topo-150k
Structure,spillway_edge,Structures,Land_Layers,spillway_edge,Structure_line,line,50354-nz-spillway-edges-topo-150k
Structure,weir_cl,Structures,Land_Layers,weir,Structure_line,line,50374-nz-weir-centrelines-topo-150k
Structure,wharf_cl,Structures,Land_Layers,wharf,Structure_line,line,50376-nz-wharf-centrelines-topo-150k
Structure,wharf_edge,Structures,Land_Layers,wharf_edge,Structure_line,line,50377-nz-wharf-edges-topo-150k
Structure,beacon_pnt,Structures,Land_Layers,beacon,Structure_point,point,50238-nz-beacon-points-topo-150k
Structure,bivouac_pnt,Structures,Land_Layers,bivouac,Structure_point,point,50239-nz-bivouac-points-topo-150k
Structure,buoy_pnt,Structures,Land_Layers,buoy,Structure_point,point,50247-nz-buoy-points-topo-150k
Structure,cattlestop_pnt,Structures,Land_Layers,cattlestop,Structure_point,point,unknown
Structure,chimney_pnt,Structures,Land_Layers,chimney,Structure_point,point,50256-nz-chimney-points-topo-150k
Structure,dredge_pnt,Structures,Land_Layers,dredge,Structure_point,point,50263-nz-dredge-points-topo-150k
Structure,flare_pnt,Structures,Land_Layers,flare,Structure_point,point,50271-nz-flare-points-topo-150k
Structure,floodgate_pnt,Structures,Land_Layers,floodgate,Structure_point,point,50272-nz-floodgate-points-topo-150k
Structure,flume_pnt,Structures,Land_Layers,flume,Structure_point,point,50274-nz-flume-points-topo-150k
Structure,gate_pnt,Structures,Land_Layers,gate,Structure_point,point,50278-nz-gate-points-topo-150k
Structure,kiln_pnt,Structures,Land_Layers,kiln,Structure_point,point,unknown
Structure,ladder_pnt,Structures,Land_Layers,ladder,Structure_point,point,50291-nz-ladder-points-topo-150k
Structure,mast_pnt,Structures,Land_Layers,mast,Structure_point,point,50299-nz-mast-points-topo-150k
Structure,redoubt_pnt,Structures,Land_Layers,redoubt,Structure_point,point,50322-nz-redoubt-points-topo-150k
Structure,shaft_pnt,Structures,Land_Layers,shaft,Structure_point,point,50340-nz-shaft-points-topo-150k
Structure,siphon_pnt,Structures,Land_Layers,siphon,Structure_point,point,50346-nz-siphon-points-topo-150k
Structure,stockyard_pnt,Structures,Land_Layers,stockyard,Structure_point,point,50357-nz-stockyard-points-topo-150k
Structure,tank_pnt,Structures,Land_Layers,tank,Structure_point,point,50360-nz-tank-points-topo-150k
Structure,tower_pnt,Structures,Land_Layers,tower,Structure_point,point,50363-nz-tower-points-topo-150k
Structure,well_pnt,Structures,Land_Layers,well,Structure_point,point,50375-nz-well-points-topo-150k
Structure,windmill_pnt,Structures,Land_Layers,windmill,Structure_point,point,50378-nz-windmill-points-topo-150k
Structure,wreck_pnt,Structures,Land_Layers,wreck,Structure_point,point,50379-nz-wreck-points-topo-150k
Transport,airport_poly,Transport,Transport_Layers,airport,Airport,poly,50237-nz-airport-polygons-topo-150k
Structure,bridge_cl,Transport,Transport_Layers,bridge,Bridge_line,line,50244-nz-bridge-centrelines-topo-150k
Transport,ferry_crossing_cl,Transport,Transport_Layers,ferry_crossing,Ferry_Crossing,line,50269-nz-ferry-crossing-centrelines-topo-150k
Transport,railway_cl,Transport,Transport_Layers,railway,Railway_line,line,50319-nz-railway-centrelines-topo-150k
Transport,rail_station_pnt,Transport,Transport_Layers,rail_station,Railway_Station,point,50318-nz-rail-station-points-topo-150k
Transport,road_cl,Transport,Transport_Layers,road,Road_line,line,50329-nz-road-centrelines-topo-150k
Transport,runway_poly,Transport,Transport_Layers,runway,Runway,poly,50333-nz-runway-polygons-topo-150k
Transport,track_cl,Transport,Transport_Layers,track,Track_line,line,50364-nz-track-centrelines-topo-150k
Transport,ford_pnt,Transport,Transport_Layers,ford,Transport_point,point,50275-nz-ford-points-topo-150k
Transport,helipad_pnt,Transport,Transport_Layers,helipad,Transport_point,point,50285-nz-helipad-points-topo-150k
Structure,tunnel_cl,Transport,Transport_Layers,tunnel,Tunnel_line,line,50366-nz-tunnel-centrelines-topo-150k
